Subject ID,Raters Group,Completed by,Rater Name,"Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Listens to patients and their families’ concerns and responds to them thoroughly._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats patients with dignity irrespective of their religion, culture, age, race, sexual orientation, gender and socio-economic status._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Respects patients’ confidentiality (i.e. does not discuss confidential patient information in areas where others can overhear the conversation like hallways, elevators, coffee shops etc.)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Takes time to explain to patients their medical condition, treatment options, methods utilized and outcomes._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Treats healthcare workers with dignity irrespective of their religion, culture, age, race, sexual orientation and gender. _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Uses respectful language with other healthcare workers (i.e: avoids abusive language, offensive comments, racial or ethnic slurs, threats of violence and foul or rude intimidating language). _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Responds in timely fashion to phone calls and paging regarding patient care. _First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Arrives on time to scheduled appointments (i.e. clinic, OR, rounds, shift etc…)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Receptive to the suggestions and concerns of other healthcare coworkers (both physician and non-physician health providers)._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Communicates directly and clearly with healthcare workers (both physician and non-physician health providers) about patient care._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Manages patient flow efficiently._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Intervenes and assists in resolving conflicts._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Engages nurses at sign-out._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Leads codes effectively._First Scale","Q1_Emergency Medicine - AUBMC Evaluation of Medical Staff Behavior Form for [S$FN] [S$LN], MD

_Readily available during shifts._First Scale",Q2_Comments,Fillout Date (mm/dd/yy)
PHYS_3431537b843f,Medical Staff,PHYS_c4d4a437f7b0,PHYS_c9f7024dd6e7,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/21/24 08:44 AM
PHYS_3431537b843f,Hospital Staff,PHYS_6b78d2ca0b89,PHYS_24a2e505c50d,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/01/2024 11:06
PHYS_3431537b843f,Medical Staff,PHYS_a440b471a3bb,PHYS_1f303295a181,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Kind 
Professional
Calm
One of a kind dr 
Smooth shift with him 
",07/15/24 01:50 PM
PHYS_3431537b843f,Faculty Self-Evaluation,PHYS_3431537b843f,PHYS_c2828c475edb,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,07/16/24 01:07 PM
PHYS_3431537b843f,Medical Staff,PHYS_82a71751d350,PHYS_ffd32b1a8043,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/24 03:21 PM
PHYS_3431537b843f,Hospital Staff,PHYS_840c14208cfb,PHYS_fc72f47b343f,Most of the time,Always,Always,Most of the time,Always,Always,Always,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,Always,D/A,07/22/24 08:36 PM
PHYS_3431537b843f,Hospital Staff,PHYS_4d833d8eb8f7,PHYS_38a0774c6d38,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/22/24 08:50 PM
PHYS_3431537b843f,Hospital Staff,PHYS_8e842997896d,PHYS_b372e5fcf9df,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,07/22/24 09:37 PM
PHYS_3431537b843f,Hospital Staff,PHYS_4c77ef672b81,PHYS_e72079c280e2,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Most of the time,Most of the time,,,Always,D/A,07/23/24 01:37 AM
PHYS_3431537b843f,Hospital Staff,PHYS_16b4b7cf800f,PHYS_b6be838a6f45,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,D/A,07/23/24 03:39 PM
PHYS_3431537b843f,Hospital Staff,PHYS_f26ac364f18c,PHYS_41cffad4890b,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,D/A,07/24/24 02:59 PM
PHYS_3431537b843f,Medical Staff,PHYS_ced0a4828312,PHYS_09d1065feec8,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Most of the time,,Always,D/A,07/29/24 11:03 AM
PHYS_3431537b843f,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Always,Always,Always,Most of the time,Always,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,,Always,D/A,08/08/2024 10:44
PHYS_17910de5f703,Hospital Staff,PHYS_9f478514e27e,PHYS_50e2af6abf84,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,Most of the time,,Always,Always,D/A,05/15/24 11:24 AM
PHYS_17910de5f703,Medical Staff,PHYS_b5d6cf1891d6,PHYS_c8c39c536fff,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 08:49 AM
PHYS_17910de5f703,Faculty Self-Evaluation,PHYS_17910de5f703,PHYS_7a1926324e94,Most of the time,Always,Most of the time,Most of the time,Always,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,D/A,05/27/24 10:43 AM
PHYS_17910de5f703,Hospital Staff,PHYS_8890549607af,PHYS_dcc517d4a30a,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 01:45 PM
PHYS_17910de5f703,Hospital Staff,PHYS_ad7d9750ee64,PHYS_d6806575b309,Always,Always,Always,Most of the time,Always,Hardly ever,Always,Always,Most of the time,Most of the time,Most of the time,Hardly ever,Hardly ever,Most of the time,Always,D/A,05/27/24 03:58 PM
PHYS_17910de5f703,Medical Staff,PHYS_527a8386c040,PHYS_6eb096f3d06f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 11:37 PM
PHYS_17910de5f703,Medical Staff,PHYS_e41df0a09758,PHYS_fdf5c5450863,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/01/2024 18:40
PHYS_17910de5f703,Hospital Staff,PHYS_dd836eabde0f,PHYS_de4af254540f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 09:23
PHYS_17910de5f703,Hospital Staff,PHYS_a662d7917291,PHYS_22f6edfa6e20,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Sometimes,Most of the time,Most of the time,Most of the time,Always,Always,Always,D/A,06/11/2024 09:04
PHYS_17910de5f703,Medical Staff,PHYS_499545c37448,PHYS_186153d7f1d9,Always,Always,Always,Most of the time,Always,Most of the time,Always,Always,Always,Most of the time,Always,Most of the time,Most of the time,,Always,D/A,07/15/24 02:13 PM
PHYS_17910de5f703,Hospital Staff,PHYS_59e67041ad41,PHYS_b1cf63b6010c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 07:57 AM
PHYS_17910de5f703,Hospital Staff,PHYS_3038202d4fac,PHYS_3bae698e4fe3,Always,Always,Always,Always,Always,Sometimes,Always,Always,Most of the time,Always,Always,Always,Most of the time,Always,Always,D/A,07/16/24 08:48 AM
PHYS_17910de5f703,Hospital Staff,PHYS_4c77ef672b81,PHYS_e72079c280e2,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,D/A,07/23/24 01:39 AM
PHYS_17910de5f703,Hospital Staff,PHYS_20ab83523ffb,PHYS_83209d54c8c2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/23/24 03:55 PM
PHYS_17910de5f703,Hospital Staff,PHYS_d1ec60832748,PHYS_08ea2b75a99c,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,D/A,07/23/24 04:17 PM
PHYS_17910de5f703,Medical Staff,PHYS_d849d1ca1a10,PHYS_f41b68af6c0e,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/23/24 09:22 PM
PHYS_17910de5f703,Hospital Staff,PHYS_29e11d0cb03b,PHYS_a278cfa22f3f,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Hardly ever,Hardly ever,Always,Sometimes,D/A,07/29/24 10:57 AM
PHYS_17910de5f703,Medical Staff,PHYS_6fc829554d4a,PHYS_ce1a05427eb8,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/31/24 01:06 PM
PHYS_17910de5f703,Medical Staff,PHYS_ced0a4828312,PHYS_09d1065feec8,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,08/11/2024 18:58
PHYS_17910de5f703,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Most of the time,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,D/A,08/12/2024 16:21
PHYS_f06180426561,Medical Staff,PHYS_764c7afc825b,PHYS_3e043f518075,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,Always,Always,D/A,05/15/24 10:46 AM
PHYS_f06180426561,Medical Staff,PHYS_daa3bb2b68ac,PHYS_f183aef9075a,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/15/24 11:02 AM
PHYS_f06180426561,Hospital Staff,PHYS_64f756a4f4a5,PHYS_6394de73ca02,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/15/24 11:59 PM
PHYS_f06180426561,Hospital Staff,PHYS_470adf549c0e,PHYS_cd36aad59456,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/16/24 08:35 PM
PHYS_f06180426561,Medical Staff,PHYS_e05aabbef33a,PHYS_483cb491161c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 12:56 PM
PHYS_f06180426561,Hospital Staff,PHYS_a5226991df8d,PHYS_f7b56de19421,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,,Always,D/A,05/27/24 03:32 PM
PHYS_f06180426561,Hospital Staff,PHYS_ad7d9750ee64,PHYS_d6806575b309,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 03:55 PM
PHYS_f06180426561,Medical Staff,PHYS_527a8386c040,PHYS_6eb096f3d06f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 11:36 PM
PHYS_f06180426561,Medical Staff,PHYS_e41df0a09758,PHYS_fdf5c5450863,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/01/2024 18:38
PHYS_f06180426561,Hospital Staff,PHYS_88f740b641c4,PHYS_339285fe2519,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 11:42
PHYS_f06180426561,Medical Staff,PHYS_58d064c749a6,PHYS_162bc917bbb5,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 23:28
PHYS_f06180426561,Medical Staff,PHYS_c5b21fa5bb30,PHYS_33a3a2eb4d59,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/10/2024 17:02
PHYS_f06180426561,Hospital Staff,PHYS_acce93944f1a,PHYS_3d8f2128a7fc,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/24/24 12:46 PM
PHYS_f06180426561,Medical Staff,PHYS_3cee3f8b092c,PHYS_bced98f2e9e8,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/03/2024 14:55
PHYS_f06180426561,Hospital Staff,PHYS_3038202d4fac,PHYS_3bae698e4fe3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 08:46 AM
PHYS_f06180426561,Faculty Self-Evaluation,PHYS_f06180426561,PHYS_f06180426561,Always,Always,Always,Always,Always,Always,,Always,Always,Always,Always,Always,Sometimes,Always,Always,D/A,07/23/24 11:16 AM
PHYS_f06180426561,Hospital Staff,PHYS_16b4b7cf800f,PHYS_b6be838a6f45,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Always,Always,Always,D/A,07/23/24 03:42 PM
PHYS_f06180426561,Hospital Staff,PHYS_f26ac364f18c,PHYS_41cffad4890b,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/24/24 03:00 PM
PHYS_f06180426561,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Most of the time,Always,Always,Most of the time,Always,Always,Always,Always,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,,Always,D/A,08/12/2024 16:17
PHYS_0aa310a24d7d,Hospital Staff,PHYS_e8b03496ad47,PHYS_ded25002218d,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,Always,Always,D/A,05/15/24 10:48 AM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_64f756a4f4a5,PHYS_6394de73ca02,,,,,,,,,,,,,,,,D/A,05/16/24 12:00 AM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_10cb02d5eb49,PHYS_4f380a6861ef,Always,Always,Most of the time,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,Never,Always,Always,D/A,05/16/24 07:34 AM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_4e0e4e8c7b9e,PHYS_4e50937d05b5,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,05/27/24 08:51 AM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_a5226991df8d,PHYS_f7b56de19421,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,,,Always,D/A,05/27/24 03:37 PM
PHYS_0aa310a24d7d,Medical Staff,PHYS_e41df0a09758,PHYS_fdf5c5450863,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,06/01/2024 18:39
PHYS_0aa310a24d7d,Hospital Staff,PHYS_337e4437a714,PHYS_94019604cd85,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 08:44
PHYS_0aa310a24d7d,Hospital Staff,PHYS_553e1c48fa34,PHYS_725a1a2847b3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 11:42
PHYS_0aa310a24d7d,Medical Staff,PHYS_1bb6f3894942,PHYS_b2c83da77248,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,06/04/2024 11:12
PHYS_0aa310a24d7d,Hospital Staff,PHYS_a662d7917291,PHYS_22f6edfa6e20,Most of the time,Always,Always,Most of the time,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Most of the time,Always,,Always,D/A,06/11/2024 09:00
PHYS_0aa310a24d7d,Medical Staff,PHYS_c4d4a437f7b0,PHYS_c9f7024dd6e7,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/21/24 08:45 AM
PHYS_0aa310a24d7d,Medical Staff,PHYS_46e4179ffdfe,PHYS_bc6817c06104,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/15/24 02:08 PM
PHYS_0aa310a24d7d,Medical Staff,PHYS_499545c37448,PHYS_186153d7f1d9,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,,Always,D/A,07/15/24 02:12 PM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_3038202d4fac,PHYS_3bae698e4fe3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 08:47 AM
PHYS_0aa310a24d7d,Medical Staff,PHYS_c5b21fa5bb30,PHYS_33a3a2eb4d59,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 09:19 AM
PHYS_0aa310a24d7d,Faculty Self-Evaluation,PHYS_0aa310a24d7d,PHYS_bcb4ea56456b,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,Sometimes,Most of the time,Always,D/A,07/16/24 07:10 PM
PHYS_0aa310a24d7d,Medical Staff,PHYS_82a71751d350,PHYS_ffd32b1a8043,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/24 03:22 PM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_d1ec60832748,PHYS_08ea2b75a99c,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,Always,Always,D/A,07/23/24 04:16 PM
PHYS_0aa310a24d7d,Medical Staff,PHYS_d849d1ca1a10,PHYS_f41b68af6c0e,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/23/24 09:22 PM
PHYS_0aa310a24d7d,Hospital Staff,PHYS_729b1a3544c4,PHYS_c395f621383c,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Most of the time,Sometimes,Most of the time,Hardly ever,Always,Always,D/A,07/24/24 07:35 AM
PHYS_0aa310a24d7d,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,08/12/2024 16:19
PHYS_c29a281f814e,Hospital Staff,PHYS_e8b03496ad47,PHYS_ded25002218d,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/15/24 10:49 AM
PHYS_c29a281f814e,Hospital Staff,PHYS_10cb02d5eb49,PHYS_4f380a6861ef,Always,Always,Most of the time,Always,Always,Always,Most of the time,Most of the time,Always,Always,Most of the time,Always,Never,,Always,D/A,05/16/24 07:37 AM
PHYS_c29a281f814e,Hospital Staff,PHYS_4e0e4e8c7b9e,PHYS_4e50937d05b5,,,,,,,,,,,,,,,,D/A,05/27/24 08:52 AM
PHYS_c29a281f814e,Hospital Staff,PHYS_8890549607af,PHYS_dcc517d4a30a,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 01:46 PM
PHYS_c29a281f814e,Faculty Self-Evaluation,PHYS_c29a281f814e,PHYS_c29a281f814e,Always,Always,Most of the time,Always,Always,Always,Always,Always,Always,Always,Most of the time,Most of the time,Most of the time,Always,Always,…,05/27/24 04:44 PM
PHYS_c29a281f814e,Medical Staff,PHYS_527a8386c040,PHYS_6eb096f3d06f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Very knowledgeable, teaches residents a lot. Shifts were very smooth.",05/27/24 11:38 PM
PHYS_c29a281f814e,Hospital Staff,PHYS_88f740b641c4,PHYS_339285fe2519,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 11:43
PHYS_c29a281f814e,Medical Staff,PHYS_1bb6f3894942,PHYS_b2c83da77248,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,06/04/2024 11:12
PHYS_c29a281f814e,Medical Staff,PHYS_c4d4a437f7b0,PHYS_c9f7024dd6e7,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/21/24 08:45 AM
PHYS_c29a281f814e,Medical Staff,PHYS_a440b471a3bb,PHYS_1f303295a181,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Amazing attending
Always available 
Smart and professional
Kind with patients and staffs 
Very smooth shift with her even in a busy one",07/15/24 01:54 PM
PHYS_c29a281f814e,Medical Staff,PHYS_3cee3f8b092c,PHYS_bced98f2e9e8,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Educational, always ready to discuss cases, a pleasure to work with ",07/16/24 07:36 AM
PHYS_c29a281f814e,Hospital Staff,PHYS_470adf549c0e,PHYS_cd36aad59456,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 10:34 AM
PHYS_c29a281f814e,Medical Staff,PHYS_82a71751d350,PHYS_ffd32b1a8043,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/24 03:22 PM
PHYS_c29a281f814e,Hospital Staff,PHYS_47c2c7ab2921,PHYS_9824bc980944,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/22/24 10:18 PM
PHYS_c29a281f814e,Hospital Staff,PHYS_62e53c8eeec9,PHYS_1d80ff872a41,,,,,,,,,,,,,,,,D/A,07/23/24 01:32 AM
PHYS_c29a281f814e,Hospital Staff,PHYS_4c77ef672b81,PHYS_e72079c280e2,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,,Always,D/A,07/23/24 11:49 AM
PHYS_c29a281f814e,Medical Staff,PHYS_6fc829554d4a,PHYS_ce1a05427eb8,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,D/A,07/31/24 01:06 PM
PHYS_c29a281f814e,Chairperson,PHYS_09dabef2e8ab,PHYS_aa159231d7a1,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Most of the time,Always,Always,D/A,08/12/2024 16:22
PHYS_09dabef2e8ab,Medical Staff,PHYS_daa3bb2b68ac,PHYS_f183aef9075a,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/15/24 11:03 AM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_9f478514e27e,PHYS_50e2af6abf84,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/15/24 11:24 AM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_470adf549c0e,PHYS_cd36aad59456,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/16/24 08:37 PM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_4e0e4e8c7b9e,PHYS_4e50937d05b5,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 08:52 AM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_a5226991df8d,PHYS_f7b56de19421,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,Always,Always,D/A,05/27/24 03:33 PM
PHYS_09dabef2e8ab,Medical Staff,PHYS_527a8386c040,PHYS_6eb096f3d06f,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/27/24 11:38 PM
PHYS_09dabef2e8ab,Medical Staff,PHYS_44c857f85793,PHYS_329611350c06,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,05/30/24 03:16 PM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_337e4437a714,PHYS_94019604cd85,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 08:47
PHYS_09dabef2e8ab,Hospital Staff,PHYS_88f740b641c4,PHYS_339285fe2519,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/03/2024 11:44
PHYS_09dabef2e8ab,Medical Staff,PHYS_1bb6f3894942,PHYS_b2c83da77248,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/04/2024 11:13
PHYS_09dabef2e8ab,Medical Staff,PHYS_c5b21fa5bb30,PHYS_33a3a2eb4d59,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/10/2024 17:03
PHYS_09dabef2e8ab,Hospital Staff,PHYS_a662d7917291,PHYS_22f6edfa6e20,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/11/2024 09:04
PHYS_09dabef2e8ab,Medical Staff,PHYS_c4d4a437f7b0,PHYS_c9f7024dd6e7,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,06/21/24 08:47 AM
PHYS_09dabef2e8ab,Medical Staff,PHYS_46e4179ffdfe,PHYS_bc6817c06104,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/15/24 02:09 PM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_3038202d4fac,PHYS_3bae698e4fe3,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/16/24 08:49 AM
PHYS_09dabef2e8ab,Medical Staff,PHYS_82a71751d350,PHYS_ffd32b1a8043,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/18/24 03:22 PM
PHYS_09dabef2e8ab,Hospital Staff,PHYS_8e842997896d,PHYS_b372e5fcf9df,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,D/A,07/22/24 09:38 PM
